id;cognome;nome;ruoli
17641;Cotto;Massimo;AUTORE
17648;Deaglio;Enrico;AUTORE
17650;Cangemi;Laura;TRADUTTORE
17655;Roversi;Paolo;AUTORE
17656;Blom;Philipp;AUTORE
17657;Peri;Francesco;TRADUTTORE
17664;Paterniti;Giovanna;TRADUTTORE
17665;Bertozzi;Marco;AUTORE
17668;Läckberg;Camilla;AUTORE
17673;Roversi;Paolo;AUTORE
17674;Verasani;Grazia;AUTORE
17688;Zucchella;Fabio;TRADUTTORE
17702;Amatori;Franco;INTRODUZIONE
17703;Isnenghi;Mario;AUTORE
17707;Zucchella;Fabio;TRADUTTORE
17795;De Marco;Katia;TRADUTTORE
17883;Goethe;Johann Wolfgang;AUTORE
17884;Racine;Jean;AUTORE
18126;Loewenthal;Elena;TRADUTTORE
18192;Zucchella;Fabio;TRADUTTORE
18242;Ciani;Maria Grazia;CURATORE
18264;Roversi;Paolo;AUTORE
18276;Zucchella;Fabio;TRADUTTORE
18668;Ciani;Maria Grazia;AUTORE
18731;Paterniti;Giovanna;TRADUTTORE
18903;La bella ;Riccardo;ILLUSTRATORE
18910;Wright;Charles ;AUTORE
18915;Trolese;Alessandro;AUTORE
18916;Morgese ;Roberto;AUTORE
18917;Snégaroff;Thomas;AUTORE
18920;Angela;Piero;PREFATORE
18921;Liotta;Eliana;CURATORE
18922;Tsumura;Kikuko;AUTORE
18923;Trionfale;Marco;AUTORE
18925;Antonelli;Noemi;AUTORE
18926;Reed Turrell;Emma;AUTORE
18940;Studio Littera;;TRADUTTORE
18944;Bonfreschi;Lucia;AUTORE
18945;Adinolfi;Francesco;AUTORE
18946;Meucci;Piero;AUTORE
18951;Hosseini;Khaled;AUTORE
18953;Wirtemberska;Maria;AUTORE
18954;Marinelli;Luigi;CURATORE
18959;Pellas;Francesca;TRADUTTORE
18961;Grilli;Alessandro;CURATORE
18973;Piaggio;Alice;ILLUSTRATORE
18975;Bonotto;Silvia;TRADUTTORE
18976;Callender;Kacen;AUTORE
18988;Francini;Antonella;TRADUTTORE
18998;Ramina;Verdiana;AUTORE
19000;Guida;Simone;AUTORE
19003;Frosini;Fabio;CURATORE
19005;Bittente;Alvise;ILLUSTRATORE
19009;Salvi;Cesare;AUTORE
19015;Zatti;Renato;TRADUTTORE
19016;Culeddu;Sara;TRADUTTORE
19023;Togawa;Masako;AUTORE
19024;Hase;Seishu;AUTORE
19026;Gritti;Maria Chiara;AUTORE
19028;Razzano;Pier Luigi;AUTORE
19031;McGill;Melissa;AUTORE
19033;Ferrario ;Erica;AUTORE
19037;Kolker ;Robert;AUTORE
19038;Marya;Rupa;AUTORE
19040;Frascolla;Pasquale;"CURATORE;TRADUTTORE"
19041;Wittgenstein;Ludwig;AUTORE
19043;Gunster;Berthold;AUTORE
19046;Winn;Raynor;AUTORE
19052;Rizzo;Chiara;TRADUTTORE
19056;Principessa;Valerio;AUTORE
19062;Amaduri;Agnese;AUTORE
19092;Cereda;Paola;AUTORE
19093;Nurra;Nicola;AUTORE
19094;Miller;Donald;AUTORE
19095;Mallouk;Peter;AUTORE
19098;Eudocia;;AUTORE
19099;Spies;Johann;AUTORE
19100;Calderón de la Barca;Pedro ;AUTORE
19101;Valéry;Paul;AUTORE
19107;Sergotti;M. Chiara;"AUTORE;CURATORE"
19108;Berteotti;Danilo;AUTORE
19125;Vygotskij;Lev;AUTORE
19126;Mecacci;Luciano;"CURATORE;TRADUTTORE"
19134;Teocrito;;AUTORE
19135;Bione;;AUTORE
19136;Ronsard;Pierre de;AUTORE
19138;Fagnoni;Barbara;TRADUTTORE
19139;Vitucci;Francesco;TRADUTTORE
19145;Solomon;Maynard;AUTORE
19149;Saint;Jennifer;AUTORE
19156;Browne;Charlotte;AUTORE
19162;Veronesi;Paolo;AUTORE
19163;Burato;Patrizia;AUTORE
19164;Innorta;Marina;AUTORE
19173;Bartocci;Maurizio;TRADUTTORE
19185;De Rosa;Maurizio;TRADUTTORE
19191;Petruška;Felix;ILLUSTRATORE
19195;Asimov ;Isaac ;AUTORE
19198;De Martini ;Piero ;AUTORE
19199;Dyer ;Geoff ;AUTORE
19200;Ereditato ;Antonio ;AUTORE
19204;Ligotti ;Thomas ;AUTORE
19206;Mason ;Paul;AUTORE
19207;Sandal;Massimo;AUTORE
19208;Stajano ;Corrado ;AUTORE
19211;Candito;Alessia;AUTORE
19215;Mian;Emanuel;AUTORE
19217;Stringer;Claire;TRADUTTORE
19222;Gor'kij;Maksim;AUTORE
19228;de Concini;Alessandro;AUTORE
19232;Klein;Erica;PREFATORE
19233;Galimberti;Fabio;TRADUTTORE
19234;Dean;Will;AUTORE
19235;Ahmad;Imran;AUTORE
19238;Tedoldi;Giordano;CURATORE
19240;Portolano;Cristina;AUTORE
19241;Assirelli;Sofia;AUTORE
19252;Maspero;Edoardo;AUTORE
19253;Roncone;Fabrizio;AUTORE
19255;Pastore;Antonietta;TRADUTTORE
19258;Dal Ferro;Riccardo;AUTORE
19259;Virgili;Maria Chiara;AUTORE
19260;Andreani;Fabiana;AUTORE
19268;Dagnes;Joselle;CURATORE
19269;Salento ;Angelo;CURATORE
19270;Omizzolo;Marco;AUTORE
19277;Rossman;John;AUTORE
19279;Peterson;J.J.;AUTORE
19282;Davis;Harold;AUTORE
19283;Brown;Robert;AUTORE
19284;Barrow;Paul;AUTORE
19285;Barrow;Colin ;AUTORE
19292;Vidotto;Giulio;CURATORE
19293;Ghisi;Marta;CURATORE
19294;Simeone;Ivana;CURATORE
19296;Dickson;John;AUTORE
19313;Mancini;Iole;AUTORE
19314;Di Gravio;Maria Luisa;"AUTORE;ILLUSTRATORE"
19315;Sarfatti;Anna;AUTORE
19316;Marchesini;Matteo;CURATORE
19319;Graziosi;Stefania;AUTORE
19325;Garofalo;Luigi;CURATORE
19326;Ceci;Francesca;AUTORE
19328;Giovannini;Francesca;AUTORE
19329;Malanca;Gerald;AUTORE
19333;Racca;Enrico;AUTORE
19335;Stagnaro;Carlo;AUTORE
19337;Marsi;Cristina;AUTORE
19338;Wiest;Brianna;AUTORE
19342;Kotter;John P.;AUTORE
19344;Lock;Andrew;AUTORE
19345;Eviston;Brent;AUTORE
19346;Wright;Jordana;AUTORE
19348;Goswami;Swish;AUTORE
19349;Underwood;Quinn;AUTORE
19352;Brass;Tinto;AUTORE
19354;Malnerich;Sarah;AUTORE
19355;Fiore;Francesca;AUTORE
19356;Garboli;Cesare;PREFATORE
19357;Greco;Pietro;PREFATORE
19359;Gargari;Lulù;AUTORE
19360;Guarisco;Sebastiano;AUTORE
19362;Hoskings;Richard;AUTORE
