id;isbn13;titolo;sottotitolo;collana_id;collana;in_libreria;in_magazzino;tipo;redazione;marchio_editoriale;autori;curatori;prefatori;traduttori;illustratori;cedola;data_cedola;modifica
107913;9788807896590;Ombre su Berlino;La prima inchiesta di Gereon Rath;103;Universale Economica Noir;;;economica;GGF;FELTRINELLI;6052;;;"6069;6068";;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 17:58:22.075677+01
107965;9788883063558;Poesie sulla spiaggia;;1058;Poesia;2022-05-19;2022-05-09;major;Apogeo;CROCETTI;;"12327;12492";;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-14 09:46:20.466652+01
108049;9788807896729;Il mastino dei Baskerville;;1076;Universale economica Ragazzi I Classici;2022-05-26;2022-05-16;economica;GGF;FELTRINELLI;10832;;;10008547;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 17:28:31.741122+01
108105;9788850336128;Imparare a programmare robot;Costruire robot dotati di intelligenza artificiale con Raspberry Pi e Python;16;Guida completa;2022-05-12;2022-05-02;major;Apogeo;APOGEO;19421;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-16 09:18:18.23941+01
108107;9788850336210;Code;Il linguaggio segreto dei computer e del software;16;Guida completa;;;major;Apogeo;APOGEO;19514;;;;;set-22;2022-09-01;2022-03-14 16:32:39.427207+01
108112;9788850336197;La meravigliosa fotografia di tutti i giorni;Risveglia la creatività e cattura immagini straordinarie dietro l'angolo;1095;Fotografia;2022-05-26;2022-05-16;major;Apogeo;APOGEO;"19425;19424";;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-16 09:18:18.231597+01
108147;9788850336135;Dare un prezzo alle cose;Strategie di vendita e idee per il giusto pricing online, in fiera, in negozio;1096;Saggi;2022-05-12;2022-05-02;major;Apogeo;APOGEO;19422;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-16 09:18:18.256431+01
109643;9788850336142;L'arte del profitto;Trasformare un'azienda mangia soldi in una macchina genera guadagni;1096;Saggi;;;major;Apogeo;APOGEO;19423;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 18:41:31.313542+01
109692;9788883063176;Poesia Nuova Serie nr. 13;maggio-giugno 2022;1057;Rivista Poesia;;;major;Apogeo;CROCETTI;1988;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 18:41:31.305363+01
109765;9788807493263;Senior Service;Nuova edizione;84;Varia;2022-03-10;2022-02-28;major;GGF;FELTRINELLI;217509;;;;;Gennaio-febbraio-marzo  2022;2022-01-01;2022-03-09 13:01:29.302058+01
109922;9788807035050;Le inchieste degli insospettabili;Gli insospettabili - Il testimone chiave;68;I Narratori;2022-07-05;2022-06-23;major;GGF;FELTRINELLI;7824;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 19:15:05.743338+01
109933;9788807035067;Flashback;;68;I Narratori;;;major;GGF;FELTRINELLI;207682;;;;;set-22;2022-09-01;2022-03-16 09:41:55.620402+01
110138;9788807896811;Dead Lions. In bocca al lupo;Le indagini di Jackson Lamb;103;Universale Economica Noir;2022-04-28;2022-04-14;economica;GGF;FELTRINELLI;6100;;;4816;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-14 16:16:20.838892+01
110142;9788807896828;Slow horses. Un covo di bastardi;Le indagini di Jackson Lamb;1090;Universale economica Noir Ristampa in prenotazione;2022-04-28;2022-04-14;economica;GGF;FELTRINELLI;6100;;;4816;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-14 16:16:20.851336+01
110170;9788807493300;Sotto il Vulcano. Idee/Narrazioni/Immaginari. Rivista trimestrale. nr. 4;luglio-settembre 2022;84;Varia;;;major;GGF;FELTRINELLI;1988;8353;;;4553;set-22;2022-09-01;2022-03-16 09:58:04.286966+01
110236;9788807897030;Salvezza. ...A casa nostra. Cronaca da Riace;;97;Universale Economica;;;economica;GGF;FELTRINELLI;"6138;6139";;;;;set-22;2022-09-01;2022-03-09 18:10:58.13681+01
110255;9788807493324;Lì dentro;Cosa sono diventati gli italiani nei social;84;Varia;2022-04-28;2022-04-14;major;GGF;FELTRINELLI;1001082;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-14 16:16:21.004675+01
110274;9788858042175;Alza la testa La Resistenza narrata ai bambini ALLEGATI;;;;;;major;Gribaudo;GRIBAUDO;;;;;;;;2022-03-10 14:47:16.740712+01
110351;9788850336241;Il libro rosso del marketing;I tre ingredienti che guidano al successo;1096;Saggi;;;major;Apogeo;APOGEO;"19532;19531";;;;;set-22;2022-09-01;2022-03-14 16:02:39.742085+01
110359;9788807923807;Magica Milla;;723;Feltrinelli Kids;2022-05-12;2022-05-02;major;GGF;FELTRINELLI;19337;;;;5871;apr-22;2022-01-01;2022-03-16 09:13:12.851767+01
110405;9788807897023;Il vizio della memoria;;606;Universale Economica Ristampa in prenotazione;;;economica;GGF;FELTRINELLI;207544;;;;;;;2022-03-15 10:21:45.011499+01
110479;9788858042687;Il cammino di Santiago in cento storie;;;;;;major;Gribaudo;GRIBAUDO;;;;;;;;2022-03-14 10:21:42.311409+01
